Name,Website,Country,AFN Coverage?
F4F,f4f.cl,Chile,No
SFly,sflyproteins.com,France,No
Ecodudu,ecodudu.com,Kenya,No
The Fly Colony,flycolony.com,Nigeria,No
Biofly Tech,bioflytech.com,Spain,No
Marula,marulaagribusiness.com,Uganda,No
Entobel,entobel.com,Vietnam,No
Nasekomo,nasekomo.life,Bulgaria,Yes
Enterra,enterrafeed.com,Canada,Yes
Innova Feed,innovafeed.com,France,Yes
Hexafly,hexafly.com,Ireland,Yes
Nutrition Technologies,nutrition-technologies.com,Malaysia,Yes
Entofood,entofood.com,Malaysia,Yes
Protix,protix.eu,Netherlands,Yes
Insectta,insectta.com,Singapore,Yes
Protenga,protenga.com,Singapore & Malaysia ,Yes
NextProtein,nextprotein.co,Tunisia & France,Yes
Better Origin,betterorigin.co.uk,United Kingdom,Yes
Entocycle,entocycle.com,United Kingdom,Yes
AgriProtein,agriprotein.com,United Kingdom,Yes
BetaBugs,betabugs.uk,United Kingdom,Yes
Grubbly Farms,grubblyfarms.com,United States,Yes
Enviroflight,enviroflight.net,United States,Yes
